[14:58:41] INFO — Fetching document list from B3 API...
[14:58:43] INFO — Total documents: 227,080
[15:12:27] INFO —   Fetched 48,300 / 227,080
[15:12:29] INFO —   Fetched 48,400 / 227,080
[15:12:30] INFO —   Fetched 48,500 / 227,080
[15:12:32] INFO —   Fetched 48,600 / 227,080
[15:12:34] INFO —   Fetched 48,700 / 227,080
[15:12:36] INFO —   Fetched 48,800 / 227,080
[15:12:37] INFO —   Fetched 48,900 / 227,080
[15:12:39] INFO —   Fetched 49,000 / 227,080
[15:12:41] INFO —   Fetched 49,100 / 227,080
[15:12:43] INFO —   Fetched 49,200 / 227,080
[15:12:44] INFO —   Fetched 49,300 / 227,080
[15:12:46] INFO —   Fetched 49,400 / 227,080
[15:12:48] INFO —   Fetched 49,500 / 227,080
[15:12:50] INFO —   Fetched 49,600 / 227,080
[15:12:51] INFO —   Fetched 49,700 / 227,080
[15:12:53] INFO —   Fetched 49,800 / 227,080
[15:12:55] INFO —   Fetched 49,900 / 227,080
[15:12:57] INFO —   Fetched 50,000 / 227,080
[15:12:58] INFO —   Fetched 50,100 / 227,080
[15:13:00] INFO —   Fetched 50,200 / 227,080
[15:13:02] INFO —   Fetched 50,300 / 227,080
[15:13:04] INFO —   Fetched 50,400 / 227,080
[15:13:05] INFO —   Fetched 50,500 / 227,080
[15:13:07] INFO —   Fetched 50,600 / 227,080
[15:13:09] INFO —   Fetched 50,700 / 227,080
[15:13:11] INFO —   Fetched 50,800 / 227,080
[15:13:12] INFO —   Fetched 50,900 / 227,080
[15:13:14] INFO —   Fetched 51,000 / 227,080
[15:13:16] INFO —   Fetched 51,100 / 227,080
